region,event,phase,source_file,match_id,match_label,game,map,map_mode,map_winner,map_score,team_1,team_2,match_winner,match_loser,ban_stage,ban_team,banned_hero,received_team,ban_note
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_20_match_1,2026-03-20 Match 1,1,Busan,Control,Poker Face,score 0:2,Cheeseburger,Poker Face,Poker Face,Cheeseburger,initial,Poker Face,Emre,Cheeseburger,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_20_match_1,2026-03-20 Match 1,1,Busan,Control,Poker Face,score 0:2,Cheeseburger,Poker Face,Poker Face,Cheeseburger,follow_up,Cheeseburger,Zarya,Poker Face,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_20_match_1,2026-03-20 Match 1,2,Runasapi,Push,Poker Face,distance 94.06m : 94.07m,Cheeseburger,Poker Face,Poker Face,Cheeseburger,initial,Cheeseburger,Symmetra,Poker Face,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_20_match_1,2026-03-20 Match 1,2,Runasapi,Push,Poker Face,distance 94.06m : 94.07m,Cheeseburger,Poker Face,Poker Face,Cheeseburger,follow_up,Poker Face,Orisa,Cheeseburger,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_20_match_1,2026-03-20 Match 1,3,Numbani,Hybrid,Poker Face,score 2:3,Cheeseburger,Poker Face,Poker Face,Cheeseburger,initial,Cheeseburger,Wuyang,Poker Face,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_20_match_1,2026-03-20 Match 1,3,Numbani,Hybrid,Poker Face,score 2:3,Cheeseburger,Poker Face,Poker Face,Cheeseburger,follow_up,Poker Face,D.Va,Cheeseburger,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_20_match_2,2026-03-20 Match 2,1,Busan,Control,ZETA DIVISION,score 1:2,Crazy Raccoon,ZETA DIVISION,ZETA DIVISION,Crazy Raccoon,initial,Crazy Raccoon,Wuyang,ZETA DIVISION,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_20_match_2,2026-03-20 Match 2,1,Busan,Control,ZETA DIVISION,score 1:2,Crazy Raccoon,ZETA DIVISION,ZETA DIVISION,Crazy Raccoon,follow_up,ZETA DIVISION,Zarya,Crazy Raccoon,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_20_match_2,2026-03-20 Match 2,2,Suravasa,Flashpoint,ZETA DIVISION,score 1:3,Crazy Raccoon,ZETA DIVISION,ZETA DIVISION,Crazy Raccoon,initial,Crazy Raccoon,Cassidy,ZETA DIVISION,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_20_match_2,2026-03-20 Match 2,2,Suravasa,Flashpoint,ZETA DIVISION,score 1:3,Crazy Raccoon,ZETA DIVISION,ZETA DIVISION,Crazy Raccoon,follow_up,ZETA DIVISION,Winston,Crazy Raccoon,
