region,event,team,map_mode,hero,bans_made,bans_received,initial_bans_made,follow_up_bans_made,initial_bans_received,follow_up_bans_received
Asia,OWCS Asia 2026 Stage 1,Crazy Raccoon,Control,D.Va,2,1,2,0,0,1
Asia,OWCS Asia 2026 Stage 1,Crazy Raccoon,Control,Wuyang,1,1,1,0,0,1
Asia,OWCS Asia 2026 Stage 1,Crazy Raccoon,Control,Mauga,1,0,0,1,0,0
Asia,OWCS Asia 2026 Stage 1,Crazy Raccoon,Control,Reaper,1,0,0,1,0,0
Asia,OWCS Asia 2026 Stage 1,Crazy Raccoon,Control,Soldier: 76,1,0,0,1,0,0
Asia,OWCS Asia 2026 Stage 1,Crazy Raccoon,Control,Tracer,1,0,1,0,0,0
Asia,OWCS Asia 2026 Stage 1,Crazy Raccoon,Control,Ana,0,1,0,0,0,1
Asia,OWCS Asia 2026 Stage 1,Crazy Raccoon,Control,Kiriko,0,1,0,0,1,0
Asia,OWCS Asia 2026 Stage 1,Crazy Raccoon,Control,Lucio,0,1,0,0,1,0
Asia,OWCS Asia 2026 Stage 1,Crazy Raccoon,Control,Mercy,0,1,0,0,0,1
Asia,OWCS Asia 2026 Stage 1,Crazy Raccoon,Control,Wrecking Ball,0,1,0,0,1,0
Asia,OWCS Asia 2026 Stage 1,Crazy Raccoon,Escort,Ana,3,0,1,2,0,0
Asia,OWCS Asia 2026 Stage 1,Crazy Raccoon,Escort,Bastion,1,0,1,0,0,0
Asia,OWCS Asia 2026 Stage 1,Crazy Raccoon,Escort,Hazard,1,0,0,1,0,0
Asia,OWCS Asia 2026 Stage 1,Crazy Raccoon,Escort,Illari,1,0,1,0,0,0
Asia,OWCS Asia 2026 Stage 1,Crazy Raccoon,Escort,Mauga,1,0,1,0,0,0
Asia,OWCS Asia 2026 Stage 1,Crazy Raccoon,Escort,Wari,1,0,1,0,0,0
Asia,OWCS Asia 2026 Stage 1,Crazy Raccoon,Escort,D.Va,0,2,0,0,1,1
Asia,OWCS Asia 2026 Stage 1,Crazy Raccoon,Escort,Jetpack Cat,0,2,0,0,1,1
Asia,OWCS Asia 2026 Stage 1,Crazy Raccoon,Escort,Zarya,0,2,0,0,0,2
Asia,OWCS Asia 2026 Stage 1,Crazy Raccoon,Escort,Reaper,0,1,0,0,0,1
Asia,OWCS Asia 2026 Stage 1,Crazy Raccoon,Escort,Roadhog,0,1,0,0,1,0
Asia,OWCS Asia 2026 Stage 1,Crazy Raccoon,Flashpoint,Baptiste,1,0,0,1,0,0
Asia,OWCS Asia 2026 Stage 1,Crazy Raccoon,Flashpoint,Reaper,1,0,0,1,0,0
Asia,OWCS Asia 2026 Stage 1,Crazy Raccoon,Flashpoint,Wrecking Ball,1,0,0,1,0,0
Asia,OWCS Asia 2026 Stage 1,Crazy Raccoon,Flashpoint,Cassidy,0,1,0,0,1,0
Asia,OWCS Asia 2026 Stage 1,Crazy Raccoon,Flashpoint,Lucio,0,1,0,0,1,0
Asia,OWCS Asia 2026 Stage 1,Crazy Raccoon,Flashpoint,Mauga,0,1,0,0,1,0
Asia,OWCS Asia 2026 Stage 1,Crazy Raccoon,Hybrid,Jetpack Cat,1,0,1,0,0,0
Asia,OWCS Asia 2026 Stage 1,Crazy Raccoon,Hybrid,Reaper,1,0,0,1,0,0
Asia,OWCS Asia 2026 Stage 1,Crazy Raccoon,Hybrid,Sierra,1,0,1,0,0,0
Asia,OWCS Asia 2026 Stage 1,Crazy Raccoon,Hybrid,Ana,0,1,0,0,1,0
Asia,OWCS Asia 2026 Stage 1,Crazy Raccoon,Hybrid,Mauga,0,1,0,0,0,1
Asia,OWCS Asia 2026 Stage 1,Crazy Raccoon,Hybrid,Zarya,0,1,0,0,0,1
Asia,OWCS Asia 2026 Stage 1,Crazy Raccoon,Push,D.Va,1,0,1,0,0,0
Asia,OWCS Asia 2026 Stage 1,Crazy Raccoon,Push,Jetpack Cat,1,0,1,0,0,0
Asia,OWCS Asia 2026 Stage 1,Crazy Raccoon,Push,Mauga,1,0,0,1,0,0
Asia,OWCS Asia 2026 Stage 1,Crazy Raccoon,Push,Wrecking Ball,1,0,1,0,0,0
Asia,OWCS Asia 2026 Stage 1,Crazy Raccoon,Push,Pharah,0,3,0,0,0,3
Asia,OWCS Asia 2026 Stage 1,Crazy Raccoon,Push,Ashe,0,1,0,0,1,0
Asia,OWCS Asia 2026 Stage 1,ENTER FORCE.36,Control,Bastion,1,0,0,1,0,0
Asia,OWCS Asia 2026 Stage 1,ENTER FORCE.36,Control,Pharah,1,0,0,1,0,0
Asia,OWCS Asia 2026 Stage 1,ENTER FORCE.36,Control,Wrecking Ball,1,0,0,1,0,0
Asia,OWCS Asia 2026 Stage 1,ENTER FORCE.36,Control,Cassidy,0,1,0,0,1,0
Asia,OWCS Asia 2026 Stage 1,ENTER FORCE.36,Control,Domina,0,1,0,0,1,0
Asia,OWCS Asia 2026 Stage 1,ENTER FORCE.36,Control,Lucio,0,1,0,0,1,0
Asia,OWCS Asia 2026 Stage 1,ENTER FORCE.36,Flashpoint,Jetpack Cat,1,0,0,1,0,0
Asia,OWCS Asia 2026 Stage 1,ENTER FORCE.36,Flashpoint,Wari,1,0,1,0,0,0
Asia,OWCS Asia 2026 Stage 1,ENTER FORCE.36,Flashpoint,Reaper,0,1,0,0,0,1
Asia,OWCS Asia 2026 Stage 1,ENTER FORCE.36,Flashpoint,Sojourn,0,1,0,0,1,0
Asia,OWCS Asia 2026 Stage 1,ENTER FORCE.36,Hybrid,Kiriko,1,0,1,0,0,0
Asia,OWCS Asia 2026 Stage 1,ENTER FORCE.36,Hybrid,Emre,0,1,0,0,0,1
Asia,OWCS Asia 2026 Stage 1,Please Not Hero Ban,Control,Ana,1,0,0,1,0,0
Asia,OWCS Asia 2026 Stage 1,Please Not Hero Ban,Control,Roadhog,0,1,0,0,1,0
